mp,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max.1,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,gmsc_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp.1,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,gmsc_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,seasons,date,won
240.0,240.0,48.0,84.0,0.571,11.0,23.0,0.478,7.0,14.0,0.5,6.0,39.0,45.0,22.0,9.0,7.0,18.0,24.0,114.0,,,0.632,0.637,0.274,0.167,15.8,69.6,47.9,45.8,9.0,10.8,16.6,100.0,113.9,86.9,,,10.0,13.0,0.833,4.0,4.0,1.0,4.0,4.0,1.0,1.0,7.0,8.0,6.0,2.0,2.0,3.0,4.0,25.0,21.1,20.0,0.97,1.0,1.0,1.0,6.7,31.7,21.6,28.0,6.8,7.8,40.0,31.6,166.0,101.0,ORL,114.0,1.0,0.0,240.0,240.0,30.0,89.0,0.337,4.0,24.0,0.167,23.0,27.0,0.852,17.0,32.0,49.0,19.0,8.0,8.0,18.0,15.0,87.0,,,0.431,0.36,0.27,0.303,30.4,84.2,52.1,63.3,8.0,13.1,15.1,100.0,86.9,113.9,,,9.0,14.0,0.714,1.0,4.0,0.5,5.0,5.0,1.0,4.0,7.0,11.0,4.0,2.0,4.0,5.0,3.0,24.0,22.4,4.0,0.761,0.714,0.6,1.0,13.4,34.6,22.0,37.5,5.3,13.2,46.0,36.2,145.0,120.0,SAS,87.0,0.0,2018.0,2017-10-27,True
240.0,240.0,37.0,79.0,0.468,13.0,31.0,0.419,9.0,13.0,0.692,14.0,35.0,49.0,18.0,9.0,5.0,23.0,20.0,96.0,,,0.567,0.551,0.392,0.165,35.9,71.4,55.7,48.6,10.0,8.5,21.4,100.0,106.2,89.6,,,9.0,16.0,1.0,4.0,7.0,0.571,5.0,6.0,1.0,3.0,7.0,10.0,4.0,3.0,3.0,5.0,5.0,22.0,14.8,25.0,1.0,1.0,1.0,1.0,19.6,34.8,19.4,28.1,5.9,6.9,51.0,35.5,200.0,98.0,UTA,96.0,1.0,0.0,240.0,240.0,31.0,81.0,0.383,5.0,22.0,0.227,14.0,20.0,0.7,14.0,25.0,39.0,17.0,12.0,4.0,16.0,20.0,81.0,,,0.451,0.414,0.272,0.247,28.6,64.1,44.3,54.8,13.3,8.3,15.1,100.0,89.6,106.2,,,7.0,14.0,0.583,3.0,6.0,0.5,3.0,5.0,1.0,5.0,5.0,10.0,4.0,4.0,2.0,5.0,4.0,16.0,12.0,7.0,0.615,0.583,0.6,1.333,34.2,42.9,38.1,34.8,6.3,11.4,100.0,28.1,216.0,120.0,LAL,81.0,0.0,2018.0,2017-10-28,True
240.0,240.0,32.0,82.0,0.39,6.0,22.0,0.273,13.0,16.0,0.813,11.0,32.0,43.0,13.0,8.0,2.0,20.0,20.0,83.0,,,0.466,0.427,0.268,0.195,23.4,71.1,46.7,40.6,8.3,3.9,18.3,100.0,86.5,114.6,,,7.0,11.0,0.778,1.0,5.0,1.0,3.0,4.0,1.0,4.0,7.0,10.0,5.0,4.0,1.0,4.0,4.0,15.0,13.9,7.0,0.833,0.833,0.714,1.0,24.2,47.5,31.0,30.2,8.8,7.5,100.0,25.1,163.0,125.0,SAC,83.0,1.0,0.0,240.0,240.0,40.0,85.0,0.471,17.0,34.0,0.5,13.0,20.0,0.65,13.0,36.0,49.0,28.0,9.0,3.0,17.0,18.0,110.0,,,0.586,0.571,0.4,0.235,28.9,76.6,53.3,70.0,9.4,5.0,15.3,100.0,114.6,86.5,,,7.0,12.0,0.667,5.0,7.0,1.0,3.0,4.0,1.0,3.0,7.0,9.0,9.0,2.0,1.0,6.0,5.0,19.0,16.4,26.0,0.792,0.792,1.0,0.667,21.2,39.6,26.0,60.1,7.5,4.9,50.0,32.0,136.0,97.0,WAS,110.0,0.0,2018.0,2017-10-29,False
240.0,240.0,38.0,81.0,0.469,16.0,35.0,0.457,12.0,15.0,0.8,6.0,29.0,35.0,25.0,16.0,8.0,14.0,17.0,104.0,,,0.594,0.568,0.432,0.185,15.4,76.3,45.5,65.8,17.1,15.4,13.8,100.0,110.8,94.8,,,9.0,15.0,0.667,5.0,9.0,1.0,9.0,12.0,1.0,3.0,9.0,12.0,6.0,4.0,6.0,3.0,4.0,25.0,24.6,32.0,1.0,1.0,0.8,2.0,11.1,58.3,28.8,32.3,6.9,16.7,66.7,43.6,141.0,109.0,UTA,104.0,1.0,0.0,240.0,240.0,34.0,76.0,0.447,12.0,24.0,0.5,9.0,11.0,0.818,9.0,33.0,42.0,17.0,4.0,3.0,24.0,16.0,89.0,,,0.55,0.526,0.316,0.145,23.7,84.6,54.5,50.0,4.3,6.5,22.9,100.0,94.8,110.8,,,7.0,11.0,0.75,4.0,6.0,1.0,6.0,6.0,1.0,3.0,7.0,10.0,6.0,2.0,2.0,5.0,4.0,18.0,14.2,13.0,0.922,0.875,1.0,0.6,17.5,56.8,28.8,44.7,5.6,8.3,38.5,29.6,234.0,117.0,DAL,89.0,0.0,2018.0,2017-10-30,True
240.0,240.0,32.0,77.0,0.416,9.0,31.0,0.29,18.0,22.0,0.818,4.0,27.0,31.0,24.0,8.0,4.0,15.0,22.0,91.0,,,0.525,0.474,0.403,0.286,9.8,75.0,40.3,75.0,8.4,7.5,14.8,100.0,95.5,115.5,,,9.0,14.0,1.0,2.0,6.0,1.0,8.0,9.0,1.0,2.0,6.0,8.0,5.0,2.0,3.0,4.0,4.0,28.0,21.8,9.0,1.23,1.25,0.75,2.0,17.0,28.8,17.9,37.0,5.6,12.3,43.6,37.6,146.0,126.0,MIL,91.0,1.0,0.0,240.0,240.0,40.0,81.0,0.494,12.0,28.0,0.429,18.0,21.0,0.857,9.0,37.0,46.0,24.0,6.0,3.0,16.0,20.0,110.0,,,0.609,0.568,0.346,0.259,25.0,90.2,59.7,60.0,6.3,6.5,15.1,100.0,115.5,95.5,,,8.0,17.0,1.0,4.0,8.0,1.0,7.0,7.0,1.0,3.0,9.0,11.0,10.0,2.0,1.0,4.0,4.0,20.0,16.1,16.0,1.5,1.5,1.0,0.8,15.0,39.6,25.8,58.3,3.7,17.3,50.0,31.5,273.0,103.0,OKC,110.0,0.0,2018.0,2017-10-31,False
240.0,240.0,41.0,92.0,0.446,10.0,30.0,0.333,24.0,30.0,0.8,15.0,30.0,45.0,20.0,5.0,4.0,12.0,28.0,116.0,,,0.551,0.5,0.326,0.326,30.6,73.2,50.0,48.8,5.1,6.8,10.2,100.0,118.7,124.8,,,12.0,25.0,0.6,6.0,12.0,0.5,10.0,11.0,1.0,4.0,9.0,13.0,6.0,3.0,2.0,4.0,5.0,40.0,28.7,6.0,0.67,0.6,0.75,1.0,20.1,31.6,21.8,36.2,8.2,5.6,27.9,33.3,143.0,133.0,WAS,116.0,1.0,0.0,240.0,240.0,41.0,83.0,0.494,9.0,24.0,0.375,31.0,38.0,0.816,11.0,34.0,45.0,23.0,5.0,5.0,10.0,24.0,122.0,,,0.612,0.548,0.289,0.458,26.8,69.4,50.0,56.1,5.1,8.1,9.1,100.0,124.8,118.7,,,16.0,22.0,0.8,3.0,7.0,1.0,7.0,10.0,1.0,3.0,9.0,10.0,6.0,2.0,2.0,3.0,6.0,40.0,35.7,12.0,1.0,1.0,0.667,1.333,16.1,36.0,22.0,26.2,4.0,5.3,25.8,34.2,190.0,127.0,PHO,122.0,0.0,2018.0,2017-11-01,False
240.0,240.0,34.0,87.0,0.391,7.0,24.0,0.292,17.0,23.0,0.739,14.0,32.0,46.0,19.0,6.0,8.0,19.0,10.0,92.0,,,0.474,0.431,0.276,0.264,28.0,86.5,52.9,55.9,6.1,14.5,16.4,100.0,93.4,113.7,,,8.0,22.0,0.75,2.0,6.0,0.5,6.0,8.0,1.0,5.0,6.0,10.0,4.0,2.0,3.0,3.0,3.0,24.0,20.2,3.0,0.788,0.75,1.0,0.75,15.9,77.1,32.8,29.5,3.5,10.0,50.0,32.5,164.0,123.0,SAS,92.0,1.0,0.0,240.0,240.0,43.0,83.0,0.518,14.0,28.0,0.5,12.0,16.0,0.75,5.0,36.0,41.0,30.0,11.0,12.0,14.0,20.0,112.0,,,0.622,0.602,0.337,0.193,13.5,72.0,47.1,69.8,11.2,19.0,13.5,100.0,113.7,93.4,,,11.0,18.0,1.0,5.0,8.0,0.75,4.0,4.0,1.0,2.0,8.0,8.0,6.0,3.0,3.0,3.0,5.0,27.0,21.2,19.0,1.0,1.0,1.0,0.667,22.2,57.0,32.8,33.2,8.5,17.9,40.0,28.9,200.0,109.0,GSW,112.0,0.0,2018.0,2017-11-02,False
240.0,240.0,45.0,84.0,0.536,11.0,28.0,0.393,21.0,31.0,0.677,9.0,28.0,37.0,25.0,5.0,2.0,16.0,24.0,122.0,,,0.625,0.601,0.333,0.369,25.7,77.8,52.1,55.6,5.0,3.6,14.1,100.0,121.2,129.2,,,12.0,19.0,0.857,5.0,7.0,1.0,11.0,13.0,1.0,2.0,6.0,6.0,15.0,1.0,1.0,4.0,5.0,36.0,28.1,-1.0,0.857,0.857,1.0,0.923,23.2,28.0,18.9,46.8,2.2,3.1,50.0,32.9,136.0,134.0,WAS,122.0,1.0,0.0,240.0,240.0,46.0,82.0,0.561,12.0,27.0,0.444,26.0,28.0,0.929,8.0,26.0,34.0,20.0,11.0,4.0,15.0,27.0,130.0,,,0.689,0.634,0.329,0.341,22.2,74.3,47.9,43.5,10.9,7.1,13.7,100.0,129.2,121.2,,,23.0,34.0,1.0,2.0,5.0,0.5,9.0,9.0,1.0,5.0,8.0,11.0,7.0,3.0,2.0,3.0,5.0,57.0,53.2,15.0,1.0,1.0,1.0,1.333,15.6,41.4,20.4,39.1,4.6,13.1,38.7,42.5,200.0,130.0,CLE,130.0,0.0,2018.0,2017-11-03,False
240.0,240.0,43.0,79.0,0.544,10.0,24.0,0.417,16.0,20.0,0.8,10.0,38.0,48.0,33.0,7.0,9.0,19.0,20.0,112.0,,,0.638,0.608,0.304,0.253,29.4,84.4,60.8,76.7,7.2,15.0,17.8,100.0,115.7,102.2,,,11.0,18.0,1.0,3.0,5.0,1.0,7.0,8.0,1.0,6.0,9.0,12.0,10.0,3.0,2.0,5.0,3.0,31.0,27.2,16.0,1.5,1.5,1.0,1.0,27.7,63.4,36.1,39.0,4.9,5.6,33.3,33.3,203.0,111.0,MIN,112.0,1.0,0.0,240.0,240.0,40.0,87.0,0.46,10.0,27.0,0.37,9.0,12.0,0.75,7.0,24.0,31.0,18.0,7.0,2.0,15.0,19.0,99.0,,,0.536,0.517,0.31,0.138,15.6,70.6,39.2,45.0,7.2,3.6,14.0,100.0,102.2,115.7,,,8.0,16.0,0.667,3.0,5.0,0.667,4.0,5.0,1.0,2.0,5.0,5.0,6.0,2.0,2.0,3.0,3.0,18.0,11.7,18.0,0.735,0.75,1.0,0.625,23.7,29.7,20.3,55.2,5.2,12.2,50.0,33.9,132.0,124.0,DAL,99.0,0.0,2018.0,2017-11-04,True
240.0,240.0,37.0,80.0,0.463,5.0,24.0,0.208,17.0,27.0,0.63,9.0,27.0,36.0,17.0,7.0,8.0,13.0,24.0,96.0,,,0.522,0.494,0.3,0.338,20.5,71.1,43.9,45.9,7.3,12.9,12.4,100.0,100.2,111.7,,,8.0,21.0,1.0,2.0,6.0,1.0,10.0,12.0,1.0,2.0,9.0,10.0,4.0,2.0,2.0,2.0,5.0,26.0,15.8,14.0,0.786,1.0,0.75,2.0,11.2,39.5,20.3,39.8,3.6,10.9,33.3,34.8,159.0,121.0,TOR,96.0,1.0,0.0,240.0,240.0,40.0,85.0,0.471,11.0,23.0,0.478,16.0,23.0,0.696,11.0,35.0,46.0,19.0,9.0,3.0,17.0,26.0,107.0,,,0.562,0.535,0.271,0.271,28.9,79.5,56.1,47.5,9.4,5.4,15.2,100.0,111.7,100.2,,,16.0,26.0,0.615,4.0,6.0,1.0,6.0,8.0,0.833,4.0,10.0,12.0,8.0,2.0,1.0,4.0,5.0,38.0,27.1,17.0,0.731,0.731,0.75,1.0,50.8,30.3,35.3,33.2,5.6,8.6,33.3,37.7,141.0,109.0,WAS,107.0,0.0,2018.0,2017-11-05,False
